image,category,sub_category,name,price
https://e7.pngegg.com/pngimages/757/605/png-clipart-women-s-yellow-sleeveless-dress-dress-see-through-clothing-top-women-dress-tshirt-orange-thumbnail.png,women's fashion,kids,Yellow Sleveless dress,2436
https://png.pngtree.com/png-clipart/20190905/original/pngtree-beautiful-red-tube-top-dress-png-image_4508160.jpg,women's fashion,kids,red tube top dress,749
https://purepng.com/public/uploads/large/purepng.com-women-dressfashion-women-dress-cloth-apparelclothingwomen-dress-631522326940onrfa.png,women's fashion,kids,blue dress for kids,3020
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSm1B3aYhXNGgi7f9NsHgxDY9JZlNdqsCfQSA&s,women's fashion,kids,white dress for kids,4911
https://w7.pngwing.com/pngs/276/321/png-transparent-wedding-dress-gown-churidar-frock-dress-party-dress-girl-formal-wear-thumbnail.png,women's fashion,kids,full size yellow dress,3441
https://static.vecteezy.com/system/resources/previews/040/324/447/non_2x/ai-generated-kids-dress-isolated-on-transparent-background-free-png.png,women's fashion,kids,kids white dotted dress,1874
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTc4VDyCB91F1UHdhibaEHH_btYF0z9dU9Wlg&s,women's fashion,kids,kids yellow dress,2030
https://www.pngitem.com/pimgs/m/390-3906676_kids-clothes-png-transparent-png.png,women's fashion,kids,full sleeve frock,4895
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVkoGWRA56urxkAcp0LtX-VETm1LaOzVKFmPD-3p7HGqRAUf9rW-HqtYswqQlMg2IF6Kk&usqp=CAU,women's fashion,kids,red frock,243
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSt8L__XM20wrYM6oZp-8M6Dmeb3RCHa1-tpA&s,women's fashion,adult,violet dress for women,3410
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRD0-0Va3YE2-HsYgAgkbpjofuRIM3hwsENOA&s,women's fashion,adult,white dress for adults,1888
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtjjaJwW1wc5T9vcBtHmBkMvd721F41Dhnlw&s,women's fashion,adult,flower dress,3086
https://png.pngtree.com/element_our/20190531/ourmid/pngtree-black-women-s-dress-image_1297552.jpg,women's fashion,adult,black dress,1836
https://freepngimg.com/thumb/dress/33155-3-floral-dress-thumb.png,women's fashion,adult,blue dress,110
https://www.pngitem.com/pimgs/m/533-5333122_2019-fashion-women-dress-o-neck-cashmere-casual.png,women's fashion,adult,o neck cashmere casual,2988
https://5.imimg.com/data5/QU/YF/MY-28770120/kids-wear-500x500.jpg,men's fashion,kids,woods apple boys cotton wear,2900
https://assets0.mirraw.com/images/11701916/image_long_webp.webp?1690455165,men's fashion,kids,Red kurta,2000
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWgLOVfhrAOASybvpvSuJmFS_BXCsqdYEVew&s,men's fashion,kids,Blue white suit,3000
https://5.imimg.com/data5/BU/EJ/NF/SELLER-7424477/boys-wedding-wear-500x500.JPG,men's fashion,kids,Sherwani,4988
https://www.okboss.co.in/assets/img/home/boysrow1/kids%20musterd%20jacket%20with%20white%20tshirt%20party%20wear%20dress.jpg,men's fashion,kids,Yellow jacket outfit,4900
https://5.imimg.com/data5/SELLER/Default/2023/5/308660768/OY/DL/WM/100045607/boys-party-wear-dress-500x500.jpeg,men's fashion,kids,Casual party outfit,3699
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmL83dWUvSkQKkOoy0SGdpym5HnMPIdQ6_6A&s,men's fashion,kids,Traditional outfit,1000
https://i.pinimg.com/236x/1b/f0/51/1bf051e70806bc2d2a929a0e7c8fa627.jpg,men's fashion,adult,Blue denim shirt,2136
https://i.pinimg.com/236x/dc/d4/0d/dcd40d9a7f9cf6a52e6cd4b2b93b15f6.jpg,men's fashion,adult,maroon shirt with black pant,2134
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSx_eMiXyVv3YvQtAMCzHEYOooCo3D3Sf8vaiehYeFoYwbhiIlDFhP2nbINveRqUsMl1R0&usqp=CAU,men's fashion,adult,Blue winter jacket,2134
https://media.gq-magazine.co.uk/photos/628dfb6e60783de8a9d33274/master/w_1600%2Cc_limit/Clothing-Essentials-21.jpg,men's fashion,adult,Casual outfit,2134
https://louisphilippe.abfrl.in/blog/wp-content/uploads/2024/02/Formal-Dress-Code-in-2024.jpg,men's fashion,adult,Blazer,2134
"https://image01-in.oneplus.net/media/202407/08/8bb6170dd07822e3bf9ae62a30e00a5a.png?x-amz-process=image/format,webp/quality,Q_80",electronics,phones,one plus,50000
https://m.media-amazon.com/images/I/51P0sXxXMVL.jpg,electronics,phones,iphone,100000
https://i.gadgets360cdn.com/products/large/Realme-12-Pro-Plus-5G-DB-709x800-1706525309.jpg?downsize=240:*,electronics,phones,Realme,25000
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQp51qjKs4i2cbJjnpcSLU_Q932nzX8BDksg&s,electronics,laptops,Dell,75000
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBXIqadU_GOPnam92fXwvri6mXp3-xfsW-cg&s,electronics,laptop,HP-Victus,85000
https://saudewala.in/cdn/shop/collections/Laptop.jpg?v=1682921339&width=1296,electronics,laptop,Macbook,150000
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/18855404/2022/12/1/830d4992-51f2-45c4-99de-b694b1625d871669895012818-Fire-Boltt-Pink-Hurricane-Smartwatch-34BSWAAY-40016698950119-1.jpg",electronics,smart watch,fire bolt watch,5000
"https://m.media-amazon.com/images/I/61GRy-zyB-L._AC_UF1000,1000_QL80_.jpg",electronics,smart watch,Boat,3000
https://www.aviationkart.com/cdn/shop/products/Sc0f9d788987f4bc69b44c1f9e5582ce22_2048x.jpg?v=1691223409,electronics,smart watch,LIGE 2023,1500
https://sony.scene7.com/is/image/sonyglobalsolutions/wh-ch720_Primary_image?$categorypdpnav$&fmt=png-alpha,electronics,headphones,SONY,4500
https://ptron.in/cdn/shop/products/51Bi92jvyDL._SL1100_544a234b-339e-44be-a2ae-b57b0ac66d86.jpg?v=1615793526,electronics,headphones,Ptron,3000
"https://m.media-amazon.com/images/I/61akGsYRuQL._AC_UF1000,1000_QL80_.jpg",electronics,headphones,iClever,1200
https://camclinic.in/wp-content/uploads/2023/06/1653353121_1708099.jpg,electronics,camera,canon EOS,57000
"https://m.media-amazon.com/images/I/61+5Ld-oc1L._AC_UF1000,1000_QL80_.jpg",electronics,camera,Fujifilm,76000
https://4.imimg.com/data4/AX/OL/MY-13223178/nikon-camera.jpg,electronics,camera,Nikon,50000
https://media.croma.com/image/upload/v1710847149/Croma%20Assets/Large%20Appliances/Refrigerator/Images/271369_0_aq6xu0.png,home and lifestyle,fridge,LG-fridge,30000
https://media.croma.com/image/upload/v1710850266/Croma%20Assets/Large%20Appliances/Refrigerator/Images/267758_0_kicih5.png,home and lifestyle,fridge,samsung fridge,50000
https://www.reliancedigital.in/medias/Whirlpool-192-Litre-Single-Door-493715199-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w0MTEwNHxpbWFnZS9qcGVnfGltYWdlcy9oNzYvaDhhLzEwMDIzNzg0MDU0ODE0LmpwZ3w4Nzg2ZDZiZWJjNzMxNjFiMDQ1ODMzYTBiZDc4YzE5NjIyMzQ5ZTY0Y2E1YTBiY2UxMDU2M2Y0NzVjN2IyOWI0,home and lifestyle,fridge,whrilpool fridge,15000
https://images.samsung.com/is/image/samsung/p6pim/in/ua32t4380akxxl/gallery/in-hd-t4310-428849-ua32t4380akxxl-537157418?$650_519_PNG$,home and lifestyle,TV,Samsung Smart TV,25000
https://www.reliancedigital.in/medias/Mi-4A-Horizon-Edition-Television-492166368-i-3-1200Wx1200H?context=bWFzdGVyfGltYWdlc3wxMzY3MzV8aW1hZ2UvanBlZ3xpbWFnZXMvaDk5L2gzNy85NzkwODc0MTg5ODU0LmpwZ3w4NTA2ZDUwYTJmOGI0MTJlYzMyMjRmYWEwOTg4N2QwODg4YWUzZWM2NzBlMDM4MTExNGExOTIzMzE2ZTYxZWE4,home and lifestyle,TV,MI 4A Horizon,35000
https://store.in.panasonic.com/media/catalog/product/cache/40b589206cef99ab7dca1586fe425968/t/h/th-32ms660dx_info_1_new.jpg,home and lifestyle,TV,Panasonic google tv,15990
https://whirlpoolindia.vtexassets.com/arquivos/ids/164386/Xpert-care-Silver-lid-open-O3-6.5kg_1500x1500.jpg?v=638000290210600000,home and lifestyle,washing machine,Whrilpool expert care,25000
https://cdn.jiostore.online/v2/jmd-asp/jdprod/wrkr/jioretailer/products/pictures/item/free/original/DhEC7InZga-kelvinator-satt-8-0kg-kws-a800tb-491604428-i-1-1200wx1200h.jpeg,home and lifestyle,washing machine,Kelvinator,10000
"https://m.media-amazon.com/images/I/71hGWUGXkqL._AC_UF1000,1000_QL80_.jpg",home and lifestyle,washing machine,samsung 7Kg,15000
https://www.worldfurnitureonline.com/wp-content/uploads/2021/10/World-Furniture-Online_39.jpg,home and lifestyle,furniture,sofaset with accessories,268447
"https://m.media-amazon.com/images/I/71Xnwvdm1iL._AC_UF894,1000_QL80_.jpg",home and lifestyle,furniture,showcase,150000
"https://m.media-amazon.com/images/I/61cefoSfepS._AC_UF1000,1000_QL80_.jpg",home and lifestyle,furniture,Wooden Sofa Set,31999
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRCWSnz369qthTvbtyxr_C6KnAdP-ypTvWZA&s,home and lifestyle,chair,Green soul chair,12000
"https://m.media-amazon.com/images/I/51JIKtaChML._AC_UF1000,1000_QL80_.jpg",home and lifestyle,chair,plastic chair,800
https://eachdaykart.in/cdn/shop/products/matchspel-gaming-chair-bomstad-black__0985645_pe816716_s5_11zon_500x500.jpg?v=1676881505,home and lifestyle,chair,Normal gaming chair,3000
https://maharishiayurvedaindia.com/cdn/shop/files/kasni-ayurvedic-medicine-for-cough-and-cold-200ml-bottle-maharishi-ayurveda-india-1.jpg?v=1692185607,medicine,ayurvedic,kasni,395
https://ik.imagekit.io/jammi/img/OrthoRaksha-Tabs.png,medicine,ayurvedic,Ortho raksha,364
https://ayurleafherbals.com/wp-content/uploads/2023/05/Ayurvedic-Medicine-for-Skin-Allergy-1-scaled-1.webp,medicine,ayurvedic,guduchi,4895
https://5.imimg.com/data5/CV/RZ/CT/SELLER-67959734/acec-sp-tablet.jpeg,medicine,generic,acec-SP,355
https://5.imimg.com/data5/SELLER/Default/2023/2/PF/IE/IZ/102456860/generic-pharmaceutical-medicine.jpg,medicine,generic,tadacip,100
https://5.imimg.com/data5/FS/PN/MY-41410453/paracetamol-generic-medicine.jpg,medicine,generic,PAracitamol,200
https://zenerics.in/wp-content/uploads/vertidax.jpg,medicine,generic,vertidax plus,550
"https://www.jiomart.com/images/product/original/rvhubqroyq/baidyanath-kafakartari-ras-40-tablets-pack-of-2-ayurvedic-medicine-for-cough-product-images-orvhubqroyq-p600844743-2-202304231058.jpg?im=Resize=(420,420)",medicine,ayurvedic,Baidhnath,70
https://ecommerce.genericartmedicine.com/upload/products/product-photo-158.png,medicine,generic,vitamin c,300
https://www.emedbucket.com/emedpro_img/uploads/product/main/Bharatgeneric/1639659515_1.jpg,medicine,generic,zithiroset,600
https://www.medlockhealthcare.in/wp-content/uploads/2017/03/NACMED-MR-TAB.jpg,medicine,branded,nacmed-MR,1209
https://tajgenerics.com/wp-content/uploads/cache/images/Oxycodone_Hydrochloride__Acetaminophen_Tablet_Generic_Export-scaled/Oxycodone_Hydrochloride__Acetaminophen_Tablet_Generic_Export-scaled-72696870.jpg,medicine,branded,oxycontex,5632
https://www.paxhealthcare.com/wp-content/uploads/2017/01/LEVOP-A-2-500x500.jpg,medicine,branded,levop-A,4958
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_FcLyYVLTuqtvz7Ly9ylbFx3ndOnhq5KFUg&s,medicine,branded,microx-CV,4533
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUWDU4aN12ZP5AOHacZe_3cvpqIEPMBJDudw&s,medicine,branded,bezotraj,758
https://cdn.nwscdn.com/media/catalog/product/cache/h700xw700/e/n/english-willow-pro-bat-main_1_3.jpg,sports,bat,English wilow,13499
"https://m.media-amazon.com/images/I/41SnsNGz8zL._AC_UF894,1000_QL80_.jpg",sports,bat,cricket bat,399
https://cdnmedia.dsc-cricket.com/media/catalog/product/cache/f6804705d3c9b06dccd038949280b6b0/d/s/dsc-krunch-the-bull-31-english-willow-2.jpg,sports,bat,DSC cricket bat,94999
https://www.khelmart.com/pub/media/catalog/product/cache/712b931dac1b924a11d1b7282ad89910/1/_/1_22_1.jpg.mst.webp,sports,bat,Rohit sharma edition,65000
"https://m.media-amazon.com/images/I/51mq13Egc6L._AC_UF894,1000_QL80_.jpg",sports,bat,CEAT Bat,495
https://5.imimg.com/data5/SELLER/Default/2022/9/GF/GP/JF/6049660/konex-badminton-racket-with-free-head-cover-cls-007.jpg,sports,badminton,Konex badminton,800
https://www.achivr.in/cdn/shop/products/astrox_1dg.png?v=1701086751&width=1080,sports,badminton,yonex astrox,4990
https://cdnmedia.racquets4u.com/media/iopt/catalog/product/cache/8f24f3f124e67ea1e49f457c6f2f1da7/y/o/yonex-voltric-lite-badminton-racquet-strung-black-yellow-1_1.webp,sports,badminton,yonex voltric,5999
https://rukminim2.flixcart.com/image/850/1000/kiqbma80-0/kit/x/p/x/ultra-badminton-racket-set-combo-badminton-racket-set-scorpion-original-imafyghtzdrug5xg.jpeg?q=90&crop=false,sports,badminton,Trueis(combo),1200
https://images-cdn.ubuy.co.in/63568fc337586066d32fea0c-badminton-rackets-set-of-2-for-training.jpg,sports,badminton,Kavasaki Badminton Racket,9170
https://m.media-amazon.com/images/I/6158LQ0EVyL.jpg,sports,balls,Size 4 soccer ball,4901
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0oWMpIqeyQhXGiOzHoOKVNHKHeCUSGpjUyw&s,sports,balls,Froza TD american football,1999
https://rukminim2.flixcart.com/image/850/1000/xif0q/ball/s/x/w/320-gta1-3-3-5-1-na-volleyball-gautam-spt-original-imagnsmxfambqbdy.jpeg?q=20&crop=false,sports,balls,vollyball ball,499
https://www.sportswing.in/wp-content/uploads/2019/02/Vector-X-SPIKE-Moulded-Volleyball.jpg,sports,balls,Vector-X Spike,700
https://m.media-amazon.com/images/I/81ZWm0p3Y+L.jpg,sports,balls,senston basketball,7091
https://images-eu.ssl-images-amazon.com/images/G/31/img21/Grocery/GroceryNewLook/grocery_sbc_coffee_440x460.jpg,groceries,,coffee,200
https://images-eu.ssl-images-amazon.com/images/G/31/img22/Grocery/CatPage/SBC/Grocery_SBC_Oats.jpg,groceries,,oats,150
https://5.imimg.com/data5/SELLER/Default/2020/12/LY/QF/YV/51068474/grocery-items-photography.jpg,groceries,,Corn flakes,100
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOBUESlyfDIorlQ7EvUQr-VKd6AiHRXFVZXA&s,groceries,,Besan,75
https://images-eu.ssl-images-amazon.com/images/G/31/img21/Grocery/GroceryNewLook/Tea.jpg,groceries,,Tea,50
https://www.eatthis.com/wp-content/uploads/sites/4/2019/10/pringles.jpg,groceries,,pringles,100
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKuQqZWx5EMEiS_s6sWWbT04uYZ2zgY-7OwA&s,groceries,,Honey,234
https://www.motherjones.com/wp-content/uploads/oranges_netting.jpg,groceries,,Oranges,334
https://i.pinimg.com/236x/cd/45/ee/cd45ee7507d8872867be1dedb9d643a1.jpg,groceries,,Sweet Corn,968
https://images-eu.ssl-images-amazon.com/images/G/31/img21/Grocery/GroceryNewLook/Seasonings.jpg,groceries,,Lemon peeper,132
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBsrfIKE43-5RU-JMewLX_i6-7e_sQnnv2Aw&s,groceries,,Maggi,242
https://i.pinimg.com/236x/4f/56/36/4f5636e05592cfae6d5f41e63afa6e6c.jpg,groceries,,Oreo,343
https://www.100daysofrealfood.com/wp-content/uploads/2021/11/Store-Bought-Snacks-7-1200x1601.jpeg,groceries,,Chickpeas,452
"https://m.media-amazon.com/images/I/51jZSlhvJrL._AC_UF1000,1000_QL80_.jpg",groceries,,Butter Biscuits,213
"https://m.media-amazon.com/images/I/71ooloRZgQL._AC_UF1000,1000_QL80_.jpg",groceries,,Plain Biscuits,234